Frequency	Mean Amplitude	Error Amplitude	Mean Phaseshift	Error  Phaseshift1,200000E+2	1,875066E-6	1,557243E-7	-1,976322E-1	1,761356E-1
1,250000E+2	2,409045E-5	5,099765E-6	-2,375046E-2	1,902775E-1
1,300000E+2	1,726547E-5	4,691849E-6	-5,670829E-2	1,624138E-1
1,350000E+2	1,434820E-5	4,211207E-6	-5,666879E-2	1,413798E-1
1,400000E+2	1,990323E-5	4,527625E-6	5,722311E-2	1,370628E-1
1,450000E+2	1,776927E-5	4,269208E-6	3,646078E-2	1,279099E-1
1,500000E+2	1,574338E-5	4,104885E-6	2,850047E-2	1,222667E-1
1,550000E+2	1,402722E-5	3,970898E-6	2,642155E-2	1,146499E-1
1,600000E+2	1,263061E-5	3,845889E-6	3,197089E-2	1,085656E-1
1,650000E+2	1,148145E-5	3,728488E-6	3,464008E-2	1,035366E-1
1,700000E+2	1,052774E-5	3,617941E-6	5,215548E-2	1,011679E-1
1,750000E+2	1,203566E-5	3,641261E-6	4,990869E-2	1,131820E-1
1,800000E+2	1,120820E-5	3,558617E-6	6,873941E-2	1,127555E-1
