Frequency	Mean Amplitude	Error Amplitude	Mean Phaseshift	Error  Phaseshift	Temperature	Error  Temperature1,250000E+2	4,247485E-5	2,277667E-6	-2,366310E-1	4,827183E-1	6,156001E+1	2,111041E-2
1,252500E+2	2,943631E-5	6,666441E-7	3,251712E-1	4,111186E-1	6,161392E+1	7,739451E-3
1,255000E+2	1,775392E-5	3,715781E-7	1,585746E-1	3,951385E-1	6,162162E+1	1,428173E-15
1,257500E+2	1,205041E-5	4,199624E-7	-3,834909E-1	3,752503E-1	6,161392E+1	7,739451E-3
1,260000E+2	6,694546E-6	3,469268E-7	4,595519E-2	4,139210E-1	6,162162E+1	1,428173E-15
1,262500E+2	5,453704E-6	4,138628E-7	2,119478E-1	3,559076E-1	6,161392E+1	7,739451E-3
1,265000E+2	4,168153E-6	3,738929E-7	2,444174E-2	2,932395E-1	6,162162E+1	1,428173E-15
1,267500E+2	3,251967E-6	3,527492E-7	-1,778184E-1	2,433019E-1	6,161392E+1	7,739451E-3
1,270000E+2	3,593067E-6	3,091261E-7	-1,449064E-1	1,497032E-1	6,162162E+1	1,428173E-15
1,272500E+2	2,835143E-6	2,313964E-7	-1,419168E-1	1,095624E-1	6,162162E+1	1,428173E-15
1,275000E+2	2,872364E-6	2,123677E-7	-1,273601E-1	9,567594E-2	6,161392E+1	7,739451E-3
1,277500E+2	2,771577E-6	2,175054E-7	-8,264122E-2	8,434895E-2	6,162162E+1	1,428173E-15
1,280000E+2	2,963295E-6	1,743990E-7	-4,174555E-2	5,819942E-2	6,162162E+1	1,428173E-15
1,282500E+2	2,965701E-6	1,434976E-7	-5,128832E-2	5,230639E-2	6,162162E+1	1,428173E-15
1,285000E+2	3,217014E-6	1,446992E-7	-1,021092E-1	4,401942E-2	6,162162E+1	1,428173E-15
1,287500E+2	2,986697E-6	1,083400E-7	-5,224027E-2	3,430468E-2	6,162162E+1	1,428173E-15
1,290000E+2	3,172440E-6	1,047553E-7	-4,005593E-2	3,067120E-2	6,162162E+1	1,428173E-15
1,292500E+2	3,118045E-6	8,018801E-8	-8,240732E-2	3,162388E-2	6,162162E+1	1,428173E-15
1,295000E+2	3,316612E-6	8,333798E-8	-7,244847E-2	2,693737E-2	6,162162E+1	1,428173E-15
1,297500E+2	3,383411E-6	7,902490E-8	-4,945849E-2	2,619631E-2	6,162162E+1	1,428173E-15
1,300000E+2	3,412400E-6	5,816321E-8	-5,851546E-2	1,915029E-2	6,162162E+1	1,428173E-15
1,302500E+2	3,511155E-6	6,449707E-8	-2,857126E-2	1,936681E-2	6,162162E+1	1,428173E-15
1,305000E+2	3,640217E-6	6,034695E-8	-4,321651E-2	1,864373E-2	6,162162E+1	1,428173E-15
1,307500E+2	3,765896E-6	4,161218E-8	-4,007331E-2	2,391222E-2	6,162162E+1	1,428173E-15
1,310000E+2	3,816413E-6	7,724505E-8	-7,497552E-2	2,218789E-2	6,162162E+1	1,428173E-15
1,312500E+2	4,005182E-6	4,867750E-8	-3,639439E-2	1,977455E-2	6,161392E+1	7,739451E-3
1,315000E+2	4,155226E-6	9,085706E-8	2,208568E-3	2,098538E-2	6,162162E+1	1,428173E-15
1,317500E+2	4,055670E-6	3,934601E-8	-1,341354E-3	1,667543E-2	6,162162E+1	1,428173E-15
1,320000E+2	4,368159E-6	5,340165E-8	-1,891827E-2	1,877141E-2	6,162162E+1	1,428173E-15
1,322500E+2	4,278816E-6	5,542271E-8	-6,249136E-3	1,244458E-2	6,162162E+1	1,428173E-15
1,325000E+2	4,548879E-6	5,178216E-8	4,345058E-3	1,799240E-2	6,162162E+1	1,428173E-15
1,327500E+2	4,711991E-6	3,509012E-8	3,071025E-3	1,004681E-2	6,162162E+1	1,428173E-15
1,330000E+2	4,862575E-6	3,213187E-8	4,769312E-3	7,392195E-3	6,162162E+1	1,428173E-15
1,332500E+2	5,114516E-6	4,965529E-8	-1,212951E-2	9,087187E-3	6,162162E+1	1,428173E-15
1,335000E+2	5,276766E-6	3,033848E-8	1,357467E-2	8,673618E-3	6,162162E+1	1,428173E-15
1,337500E+2	5,296133E-6	2,049214E-8	-9,442259E-3	4,221024E-3	6,162162E+1	1,428173E-15
1,340000E+2	5,656066E-6	3,144877E-8	2,464873E-2	5,843761E-3	6,162162E+1	1,428173E-15
1,342500E+2	5,978523E-6	4,088920E-8	2,504962E-2	5,404489E-3	6,161392E+1	7,739451E-3
1,345000E+2	6,215240E-6	2,694369E-8	3,292635E-2	5,644535E-3	6,160621E+1	1,089037E-2
1,347500E+2	6,499366E-6	3,098681E-8	1,259166E-2	4,661659E-3	6,161392E+1	7,739451E-3
1,350000E+2	6,881244E-6	2,854847E-8	2,900860E-2	7,190249E-3	6,162162E+1	1,428173E-15
1,352500E+2	7,207389E-6	3,247558E-8	5,460545E-2	4,769791E-3	6,162162E+1	1,428173E-15
1,355000E+2	7,662643E-6	3,701637E-8	7,006099E-2	4,465201E-3	6,162162E+1	1,428173E-15
1,357500E+2	8,108449E-6	6,195780E-8	6,513923E-2	4,063324E-3	6,162162E+1	1,428173E-15
1,360000E+2	8,637512E-6	8,413821E-8	7,951467E-2	7,928167E-3	6,162162E+1	1,428173E-15
1,362500E+2	9,339305E-6	6,973036E-8	9,367282E-2	6,056658E-3	6,162162E+1	1,428173E-15
1,365000E+2	1,002998E-5	6,995989E-8	1,293998E-1	7,917733E-3	6,162162E+1	1,428173E-15
1,367500E+2	1,087254E-5	5,470489E-8	1,097040E-1	4,660251E-3	6,162162E+1	1,428173E-15
1,370000E+2	1,178237E-5	5,253351E-8	1,348725E-1	6,850971E-3	6,162162E+1	1,428173E-15
1,372500E+2	1,284714E-5	6,757255E-8	1,602476E-1	4,511220E-3	6,162162E+1	1,428173E-15
1,375000E+2	1,440926E-5	7,805017E-8	1,786354E-1	4,241925E-3	6,162162E+1	1,428173E-15
1,377500E+2	1,612976E-5	7,404072E-8	1,882381E-1	3,995931E-3	6,162162E+1	1,428173E-15
1,380000E+2	1,839417E-5	1,062747E-7	2,387507E-1	5,527056E-3	6,162162E+1	1,428173E-15
1,382500E+2	2,132670E-5	8,951000E-8	2,701478E-1	5,382564E-3	6,162162E+1	1,428173E-15
1,385000E+2	2,545469E-5	1,361531E-7	3,353888E-1	4,760147E-3	6,162162E+1	1,428173E-15
1,387500E+2	3,089403E-5	1,475980E-7	4,195067E-1	3,760912E-3	6,162162E+1	1,428173E-15
1,390000E+2	3,947348E-5	3,103708E-7	5,331827E-1	5,730540E-3	6,162162E+1	1,428173E-15
1,392500E+2	5,121291E-5	5,357521E-7	7,712008E-1	4,946471E-3	6,162162E+1	1,428173E-15
1,395000E+2	6,747551E-5	6,096648E-7	1,158707E+0	9,318148E-3	6,162162E+1	1,428173E-15
1,397500E+2	7,307236E-5	3,766325E-7	1,693536E+0	1,638396E-2	6,162162E+1	1,428173E-15
1,400000E+2	5,939505E-5	3,970913E-7	2,167992E+0	1,335147E-2	6,161392E+1	7,739451E-3
1,402500E+2	4,428687E-5	4,190382E-7	2,461684E+0	9,042108E-3	6,162162E+1	1,428173E-15
1,405000E+2	3,505413E-5	4,324039E-7	2,671967E+0	1,256579E-2	6,162162E+1	1,428173E-15
1,407500E+2	2,742014E-5	1,694860E-7	2,752145E+0	6,067535E-3	6,162162E+1	1,428173E-15
1,410000E+2	2,287679E-5	1,148294E-7	2,809171E+0	5,185388E-3	6,161392E+1	7,739451E-3
1,412500E+2	1,945363E-5	1,243057E-7	2,866384E+0	5,231093E-3	6,160621E+1	1,089037E-2
1,415000E+2	1,696804E-5	1,134140E-7	2,908205E+0	4,556959E-3	6,161392E+1	7,739451E-3
1,417500E+2	1,496651E-5	9,598640E-8	2,944906E+0	6,140423E-3	6,160621E+1	1,089037E-2
1,420000E+2	1,350684E-5	7,281978E-8	2,971093E+0	5,076394E-3	6,161392E+1	7,739451E-3
1,422500E+2	1,211371E-5	7,801613E-8	2,995754E+0	4,801833E-3	6,162162E+1	1,428173E-15
1,425000E+2	1,104575E-5	5,226767E-8	2,997969E+0	4,525113E-3	6,161392E+1	7,739451E-3
1,427500E+2	1,006980E-5	7,725236E-8	3,021681E+0	7,460090E-3	6,160621E+1	1,089037E-2
1,430000E+2	9,393679E-6	3,576219E-8	3,048149E+0	5,619033E-3	6,161392E+1	7,739451E-3
1,432500E+2	8,693186E-6	3,753190E-8	3,047513E+0	5,073723E-3	6,161392E+1	7,739451E-3
1,435000E+2	8,266323E-6	2,859184E-8	3,033394E+0	6,157709E-3	6,161392E+1	7,739451E-3
1,437500E+2	7,612770E-6	3,846670E-8	3,063340E+0	5,221141E-3	6,160621E+1	1,089037E-2
1,440000E+2	7,226685E-6	2,858032E-8	3,039387E+0	4,577582E-3	6,159851E+1	1,327039E-2
1,442500E+2	6,800692E-6	4,498983E-8	3,056137E+0	7,229228E-3	6,162162E+1	1,428173E-15
1,445000E+2	6,441953E-6	3,931153E-8	3,095659E+0	6,612205E-3	6,161392E+1	7,739451E-3
1,447500E+2	6,190935E-6	4,642308E-8	2,763825E+0	3,091549E-1	6,159851E+1	1,327039E-2
1,450000E+2	5,810671E-6	3,139710E-8	2,769726E+0	3,098773E-1	6,161392E+1	7,739451E-3
1,452500E+2	5,507578E-6	6,138185E-8	1,862755E+0	5,683571E-1	6,162162E+1	1,428173E-15
1,455000E+2	5,291744E-6	5,552266E-8	2,477505E+0	4,274882E-1	6,162162E+1	1,428173E-15
1,457500E+2	5,027448E-6	6,916624E-8	6,270844E-3	7,073200E-1	6,162162E+1	1,428173E-15
1,460000E+2	5,025284E-6	7,609621E-8	2,955580E-1	6,991048E-1	6,162162E+1	1,428173E-15
1,462500E+2	4,885136E-6	1,961731E-7	6,257723E-1	6,811297E-1	6,162162E+1	1,428173E-15
1,465000E+2	4,573573E-6	1,587043E-7	-2,942115E-1	6,777292E-1	6,162162E+1	1,428173E-15
1,467500E+2	4,549775E-6	2,943364E-7	-8,717501E-1	6,207388E-1	6,162162E+1	1,428173E-15
1,470000E+2	4,696181E-6	2,187600E-7	1,154167E+0	6,206907E-1	6,161392E+1	7,739451E-3
1,472500E+2	6,410468E-6	7,773319E-7	1,210567E+0	5,041114E-1	6,162162E+1	1,428173E-15
1,475000E+2	4,495211E-6	4,238734E-7	7,073899E-1	5,821137E-1	6,162162E+1	1,428173E-15
1,477500E+2	7,011242E-6	6,256724E-7	8,209496E-1	4,888663E-1	6,162162E+1	1,428173E-15
1,480000E+2	6,911721E-6	6,462996E-7	-1,865691E-1	5,837596E-1	6,162162E+1	1,428173E-15
