Frequency	Mean Amplitude	Error Amplitude	Mean Phaseshift	Error  Phaseshift	Temperature	Error  Temperature
1.387500E+2	2.784535E-5	2.918488E-7	3.606572E-1	8.266259E-3	5.780447E+1	1.800705E-2
1.390000E+2	3.482061E-5	2.727369E-7	4.749907E-1	9.980334E-3	5.794309E+1	2.559095E-2
1.392500E+2	4.540816E-5	3.979183E-7	6.238810E-1	5.197264E-3	5.804577E+1	2.548671E-2
1.395000E+2	6.102411E-5	6.876780E-7	9.308925E-1	8.756645E-3	5.803550E+1	2.568441E-2
1.397500E+2	7.403251E-5	6.798389E-7	1.403522E+0	1.322249E-2	5.788661E+1	2.381270E-2
1.400000E+2	6.693948E-5	4.841432E-7	1.982003E+0	1.793574E-2	5.785581E+1	2.218043E-2
1.402500E+2	5.032249E-5	5.087609E-7	2.349239E+0	8.518642E-3	5.785067E+1	2.185396E-2
1.405000E+2	3.795846E-5	3.181757E-7	2.602728E+0	8.284455E-3	5.794822E+1	2.568441E-2
1.407500E+2	2.921950E-5	1.787573E-7	2.706224E+0	5.444558E-3	5.807144E+1	2.479847E-2
1.410000E+2	2.472058E-5	2.338382E-7	2.778956E+0	9.194422E-3	5.815872E+1	1.994317E-2
1.412500E+2	2.074387E-5	1.717838E-7	2.843624E+0	1.046797E-2	5.823059E+1	1.016330E-2
1.415000E+2	1.733843E-5	1.179844E-7	2.875369E+0	3.720591E-3	5.814331E+1	2.114821E-2
1.417500E+2	1.512291E-5	5.644496E-8	2.921193E+0	4.006582E-3	5.802010E+1	2.590116E-2
1.420000E+2	1.336029E-5	1.244265E-7	2.957882E+0	6.876153E-3	5.792768E+1	2.524533E-2
1.422500E+2	1.239374E-5	7.178012E-8	2.993403E+0	6.703783E-3	5.791228E+1	2.479847E-2
1.425000E+2	1.149540E-5	8.661217E-8	3.023690E+0	7.327727E-3	5.786094E+1	2.249032E-2
1.427500E+2	1.005360E-5	6.859375E-8	2.973230E+0	8.147120E-3	5.786608E+1	2.278433E-2
1.430000E+2	9.008945E-6	5.448658E-8	3.004310E+0	8.843643E-3	5.788148E+1	2.357676E-2
1.432500E+2	8.803401E-6	7.145041E-8	3.032478E+0	6.823072E-3	5.792255E+1	2.510786E-2
1.435000E+2	8.158738E-6	4.103710E-8	3.034986E+0	8.009917E-3	5.806630E+1	2.495898E-2
1.437500E+2	7.608569E-6	6.305639E-8	3.031741E+0	8.462518E-3	5.815872E+1	1.994317E-2
